author,date,post
hillard1959,"Sep 02 2022, ","
					,
,
,Honestly, I just want more explanation for how anthems work now. If it's meant that I'm supposed to be more choosey as to which anthem to throw up in any give situation and only run one, perhaps two anthems at a time, fine. I'll have to take a look at it again when BR is back up.,
,
Faster ballads would be a very welcome change. To increase DPS, you're supposed to chain together three Minor Ballads to maximize DPS. But I find myself doing Minor - Major- Perfect simply to get my Coda up faster. It's not great, but I prefer that to Minor - Cry- Minor - Another Cry - Minor - Yet Another Cry. I want to nuke stuff ,as opposed to a few minutes from now. And I know about spamming Cry of the Chorus, but this old dog never could get used to that new trick. It's effective on live, without a doubt, but I'm still rather stuck on using it as an emergency ""I need to tier up NOW"" skill than something that should be in regular rotation. ,
,
As for piercing cry, I still want my stun back. I could care less about the reflect or corruption removal. Corruptions are a joke on landscape and Tier 1 solo instances. With few exceptions, you can freely ignore them as if they weren't on the mob to begin with. You want to fix something, fix that. While I do realize we have the new AOE stun, it's like asking for a scalpel and being handed a hammer. Sometimes I just want to keep that one mob out of the way for a few seconds while I deal with his friends.
				"
wispsong,"Sep 02 2022, ","
					,
,
,Mediocre equipped mini (including LI, traits, virtues) better stay out of Gundabad now. Swapping stances in the middle of a fight or have longer fights is mostly not an option. There are to many grouped mobs which include signatures and to many patrols that make kiting impossible and even some AoE. We are a light class, especially vulnerable when attacked by groups. It seems clear to me that the dev has not played a red mediocre geared mini on level in Gundabad enemy camps. I also am at this point convinced that these changes to red and blue are made due to PvMP. I hope to get through Gundabad before they go live because my minis will take a long break after. It seems laughable to having got mad/sad about the hunter barrage/focus changes and the LM pet changes when this is completely destroying red mini as is.
				"
hillard1959,"Sep 02 2022, ","
					,
,
,I concur. I haven't raided in years, so my mini had no raid gear to fall back on. The gear you do get as you level up through Gundabad isn't really great. I even tried running a yellow build through there and found I had to be exceedingly careful as to which skills I applied as I could end up pulling more mobs than I could handle with little to no room for kiting. I didn't really feel in a comfortable spot again as a red minstrel until I was able to craft a full set of 140 armor. My jewelry is still a mess, so that's the next thing I'll have to get my jeweler's crafting up for.
				"
Belechael,"Sep 02 2022, ","
					,
,
,Same here, hence my previous post.,
,
I have friends who decided to come back to the game after a long hiatus, obviously with #### gear, and they had a very hard time in Gundabad. ,
,
But lets face it, pvmp is again screwing pve, and they don't even have the decency to admit it.
				"
Neinda,"Sep 02 2022, ","
					,
,
,I don't believe pvmp is the reason for nerfing the mini.  I suspect there is a new premium class or class line being released that will be better than the nerfed version of the mini.  The age old take it away and make us pay to get it back system that works so well in this game.  Maybe we will get a middle earth version of a druid that uses flower power and plants to heal and buff?  There is a reason this nerf is being fast tracked and supposedly there is a big announcement in September.  Resources are being used to make these major changes to the mini.  There has to be a payback for SSG somewhere in the changes.  This is the longest running healer class in the game.  It has never been copied or replaced with anything.
				"
infinitewhimsy,"Sep 02 2022, ","
					I doubt PvP has anything to do with it, you guys give them too much credit even if it's for maliciousness. ,
,
I mean look at the new Anthem of Prowess which for some reason now gives 3,000 agility? You can't tell me ANY thought went into that.,
,
,
Pretty sure that's the balancing process.
				"
CasualActual,"Sep 02 2022, ","
					Is the nerf to anthem of composure tac mitigation,  Old 160k new 80k intentional and if so,  what the justification for it?
				"
infinitewhimsy,"Sep 02 2022, ","
					,
,
,You get 3% raw mitigation for basically every tactical type now through Composure and Compassion to compensate, although though now it's 2 skills and a lot more trait points and much more time to apply said buffs. The Resistance rating is a lot lower too.
				"
wispsong,"Sep 02 2022, ","
					,
,
,A new ranged premium class would be a sale no matter what. I think this is just the start of butchering all classes for whatever reason.
				"
Aurayael,"Sep 02 2022, ","
					I also want to try to give some words of my irritation on this massiv changes , even as I do not know to realise everything coming. (It would be really helpful to have a German/France translation of Bullroar announcements),
,
the two main things I do not understand:,
,
- Why changing a class really no player complains about over a few years. The Mini forum is as silent as no other forum. There are no big complaining from RK or beos, or who else can heal or support in a raid. We see a endgame-raidcontent with all three main-healers be part of it. So why this big chance without any player-based reason? (Or do I miss something),
,
,
- The other thing I really do not understand is the arguing with red-traitline, because the last thing a mini had to do is DPS. For me, the identity of mini is healing as the first part and supporting as the second. I can play without a red-traitline much more than without a yellow one. I know, this is not the main opinion, because solo play has always to be easy and not frustrating. But in an MMO I play with friends there is always a way to get trough difficult content outside a raid or instance. If you really want to give melody and yellow a justification for existence, than close the red-line! And give classes like hunters, champions and so one the chance to be the real DDs in the very small spots they have in raids. You can give us a buff for landscape to increase the DPS with a mechanic like 'still as death', so we are not allow to use it in raids or in pvmp
				"
